pesticide,crop
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Apple
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Beans
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Blackleg and soft
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Citrus
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Disease of potato
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Paddy (Rice)
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Tea
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Tobacco
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,Tomato/Chilli
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,brown wilt or ring
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,es
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,or The bangle
(Streptomycin Sulphate 9% + Tetracycline Hydrochloride 1%) SP,"rot, bacterial"
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Apple
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Beans
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Paddy (Rice)
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Potato
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Tea
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Tobacco
(Streptomycin Sulphate 90% + Tetracycline Hydrochloride 10%) SP,Tomato
"2,4-D Sodium Salt 48% + Metribuzin 32% + Chlorimuron ethyl 0.85% WDG",Sugarcane
"2,4-D Sodium Salt 50% (w/w) + Metribuzin 15% (w/w) WP",Wheat
"2,4-D sodium salt 44% + Metribuzin 35% + Pyrazosulfuron ethyl 1.0% WDG",Sugarcane
Abamectin 01.90 % EC,Apple
Abamectin 01.90 % EC,Grapes
Abamectin 01.90 % EC,Rose (Ornamental)
Abamectin 01.90 % EC,Tomato
Acephate 50 % + Bifenthrin 10 % WDG,Cotton
Acephate 50 % + Fipronil 5% WDG,Paddy
Acephate 50 % + Imidacloprid 01.80 % SP,Chilli
Acephate 50 % + Imidacloprid 01.80 % SP,Cotton
Acephate 50 % + Imidacloprid 01.80 % SP,Paddy (Rice)
Acephate 50 % + Imidacloprid 01.80 % SP,Sugarcane
Acephate 50 % + Imidacloprid 5 % WG,Cotton
Acephate 75 % SP,Cotton
Acephate 75 % SP,Rice (Paddy)
Acephate 75 % SP,Rose
Acephate 75 % SP,Safflower
Acephate 95 % SG,Cardamom
Acephate 95 % SG,Chilli
Acephate 95 % SG,Cotton
Acephate 95 % SG,Paddy (Rice)
Acephate 95 % SG,Rice (Paddy)
Acephate 97 % DF,Cotton
Acephate 97 % DF,Paddy (Rice)
Acephate 97 % DF,Rice (Paddy)
Acequinocyl 15% w/v SC,Rose
Acequinocyl 15% w/v SC,Tomato
Acetamiprid 00.40 % + Chlorpyriphos 20 % EC,Paddy (Rice)
Acetamiprid 01.10 % + Cypermethrin 05.50 % EC,Cotton
Acetamiprid 19.50 % + Chlorantraniliprole 19.50% w/w FS,Maize
Acetamiprid 19.50 % + Chlorantraniliprole 19.50% w/w FS,Tomato
Acetamiprid 20 % SP,Cabbage
Acetamiprid 20 % SP,Cardamom
Acetamiprid 20 % SP,Chilli
Acetamiprid 20 % SP,Cotton
Acetamiprid 20 % SP,Okra (Bhindi)
Acetamiprid 20 % SP,Rice (Paddy)
Acetamiprid 20% + Chlorantraniliprole 20% WG,Cabbage
Acetamiprid 20% + Chlorantraniliprole 20% WG,Cotton
Acetamiprid 20% + Chlorantraniliprole 20% WG,Tomato
Acetamiprid 25% + Bifenthrin 25 % WG,Cotton
Acetamiprid 25% + Bifenthrin 25 % WG,Rice (Paddy)
Acetamiprid 25% + Bifenthrin 25 % WG,Soybean
Aclonifen 36.89 % w/w + Diflufenican 6.15% w/w + Pyroxasulfone 4.10 % w/w SC,Rice
Aclonifen 36.89 % w/w + Diflufenican 6.15% w/w + Pyroxasulfone 4.10 % w/w SC,Transplanted
